status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,session,participant,frameRate,expName,date,condition,
target,kuku,stim/kuku.wav,0,21,21,32,,,space,1.40086293221,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,coco,stim/coco.wav,0,22,22,10,,,space,0.904327869415,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,tuku,stim/tuku.wav,0,23,23,48,,,space,1.42999196053,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,geke,stim/geke.wav,0,24,24,22,,,space,1.56363892555,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,tiki,stim/tiki.wav,0,25,25,45,,,space,1.8677520752,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,bola,stim/bola.wav,0,26,26,7,,,space,1.41747403145,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,kaka,stim/kaka.wav,0,27,27,28,,,space,1.80104613304,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,polo,stim/polo.wav,0,28,28,40,,,space,1.55034708977,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,taka,stim/taka.wav,0,29,29,43,,,space,0.970476865768,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
distractor,uta,stim/uta.wav,0,30,30,49,,,space,1.20035600662,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,baka,stim/baka.wav,0,31,31,2,,,space,1.1671769619,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,toko,stim/toko.wav,0,32,32,47,,,space,1.41385912895,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
distractor,eda,stim/eda.wav,0,33,33,18,,,space,2.53443002701,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,duku,stim/duku.wav,0,34,34,17,,,space,1.23073196411,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,giki,stim/giki.wav,0,35,35,23,,,space,1.50081300735,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,koko,stim/koko.wav,0,36,36,31,,,space,1.60073018074,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,boko,stim/boko.wav,0,37,37,6,,,space,0.867055892944,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,poko,stim/poko.wav,0,38,38,39,,,space,0.880249023438,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,guku,stim/guku.wav,0,39,39,26,,,space,0.917641878128,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,gota,stim/gota.wav,0,40,40,25,,,space,0.68382191658,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
distractor,epa,stim/epa.wav,0,41,41,19,,,space,0.65075802803,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
distractor,oka,stim/oka.wav,0,42,42,34,,,space,0.570919036865,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,topo,stim/topo.wav,0,43,43,46,,,space,0.950268983841,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,bala,stim/bala.wav,0,44,44,3,,,space,0.783468961716,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
