file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
lmw_prodShadow3_paka,0.0,1.006,lmw,-48.49367651608911,-48.511502265930176,1.8200185537121114,11.296233729449195
ems_prodShadow3_paka2,0.0,0.94,ems,-53.084098653590424,-56.92542839050293,1.8200185537121114,13.110407129384448
jkw_prodShadow3_paka2,0.0,0.962,jkw,-55.17615763346354,-60.15901279449463,1.8200185537121114,11.958093373357265
ems_prodShadow3_oka2,0.0,0.809,ems,-55.9883716724537,-60.124159495035805,1.8182034741304296,6.698378790479055
ems_prodShadow3_oka,0.0,0.962,ems,-52.21426900227865,-57.179009755452476,1.8182034741304296,6.528037800635811
bco_prodShadow3_gaka1,0.0,1.247,bco,-52.229546875,-59.35100078582764,1.795938655736558,12.674862046907382
ems_prodShadow3_gaka1,0.0,1.05,ems,-52.74081566220238,-58.757680892944336,1.7959379356945622,13.442130386415865
bco_prodShadow3_uta,0.0,1.641859410430839,bco,-47.47360601657775,-55.988946278889976,1.7926010437080702,11.239481727273681
lmw_prodShadow3_taka2,0.0,1.291,lmw,-49.46071417756783,-53.327375411987305,1.7711514430348065,14.148883872519326
lmw_prodShadow3_caca1,0.0,1.1596598639455782,lmw,-49.451218177532326,-50.775702476501465,1.7711514430348065,10.60300998327853
blr_prodShadow3_apa2,0.0,0.962,blr,-54.52470906575521,-56.26359558105469,1.7711514430348065,17.167287485269224
blr_prodShadow3_ada1,0.0,1.0719954648526078,blr,-47.13687390478972,-47.962721506754555,1.7711514430348065,17.923535477014457
lmw_prodShadow3_ita2,0.0,1.0286167800453514,lmw,-48.527922102548544,-51.53861745198568,1.7711514430348065,14.758148875359062
lmw_prodShadow3_daka1,0.0,1.05,lmw,-49.85489211309524,-53.384450912475586,1.7711514430348065,11.369719991408843
lmw_prodShadow3_oba,0.0,1.028,lmw,-44.95093010467233,-42.126471201578774,1.7711514430348065,13.935805636224709
jkw_prodShadow3_eda2,0.0,0.962,jkw,-49.10691833496094,-58.150146484375,1.7711514430348065,15.180715713197
blr_prodShadow3_oka1,0.0,0.787,blr,-49.99898944323576,-54.33372497558594,1.7711514430348065,17.496003949287008
blr_prodShadow3_taka2,0.0,0.8747619047619047,blr,-50.46138649425287,-51.8928279876709,1.7711514430348065,18.473659051367967
mav_prodShadow3_apa,0.0,0.809,mav,-58.82286241319444,-53.92362976074219,1.740099500720429,8.63163784829138
jal_prodShadow3_ita1,0.0,0.809,jal,-54.47778621720679,-52.870416005452476,1.74009850411649,6.362993979512421
lmw_prodShadow3_kaka2,0.0,1.225,lmw,-50.712259432164636,-54.18700695037842,1.6532860414976727,14.959498765324035
mam_prodShadow3_caca1,0.0,0.984,mam,-55.045200892857146,-58.49555778503418,1.6532850020095968,11.366578644945687
blr_prodShadow3_oka2,0.0,0.984,blr,-52.48875956632653,-58.70427322387695,1.6532850020095968,18.19327128288647
bco_prodShadow3_kaka2,0.0,1.466530612244898,bco,-50.31065316751701,-52.77620029449463,1.6532850020095968,12.248571244228762
bco_prodShadow3_caca1,0.0,1.598,bco,-49.739828491210936,-59.83296203613281,1.6532850020095968,12.431549367494192
bco_prodShadow3_caca,0.0,1.247,bco,-50.00279296875,-52.45352649688721,1.6532850020095968,12.795223749880865
ems_prodShadow3_caca2,0.0,0.9185941043083901,ems,-52.56795601222826,-59.13581085205078,1.6532850020095968,12.008107147303242
djv_prodShadow3_kaka2,0.0,1.181609977324263,djv,-45.26909262447034,-53.354994773864746,1.6532850020095968,17.220519296591306
blr_prodShadow3_caca,0.0,1.072,blr,-48.51948561623832,-53.664687156677246,1.6532850020095968,15.21313901657581
lmw_prodShadow3_caca,0.0,0.858,lmw,-49.93940202579942,-52.05306434631348,1.6532844822655588,12.304528035488037
jmt_prodShadow3_oba,0.0,1.072,jmt,-54.89014584550234,-52.676432291666664,1.6321554058585197,12.10764232226531
jal_prodShadow3_oba,0.0,1.225,jal,-50.10833492123984,-58.36144002278646,1.6321554058585197,15.322507838269837
mam_prodShadow3_ita2,0.0,1.0719954648526078,mam,-53.07830297167056,-53.61198933919271,1.6286983390134757,9.558635335378938
blr_prodShadow3_paka1,0.0,0.809,blr,-54.88360218942901,-56.1492223739624,1.6039492069710217,16.316298299519715
blr_prodShadow3_daka,0.0,0.984,blr,-48.49159956951531,-54.73950386047363,1.6039492069710217,18.108814717267965
lmw_prodShadow3_bola1,0.0,1.028,lmw,-44.86714957524272,-45.57754325866699,1.6039492069710217,14.012873468979409
